sequence_order,grapheme,phoneme,audio_file
1,s,/s/,s.pcm
2,a,/a/,a.pcm
3,t,/t/,t.pcm
4,p,/p/,p.pcm
5,i,/i/,i.pcm
6,n,/n/,n.pcm
7,m,/m/,m.pcm
8,d,/d/,d.pcm
9,g,/g/,g.pcm
10,o,/o/,o.pcm
11,c,/k/,k.pcm
12,k,/k/,k.pcm
13,ck,/k/,k.pcm
14,e,/e/,e.pcm
15,u,/u/,u.pcm
16,r,/r/,r.pcm
17,h,/h/,h.pcm
18,b,/b/,b.pcm
19,f,/f/,f.pcm
20,ff,/f/,f.pcm
21,l,/l/,l.pcm
22,ll,/l/,l.pcm
23,j,/j/,j.pcm
24,v,/v/,v.pcm
25,w,/w/,w.pcm
26,x,/ks/,ks.pcm
27,y,/y/,y.pcm
28,z,/z/,z.pcm
29,zz,/z/,z.pcm
30,q,/kw/,kw.pcm
31,qu,/kw/,kw.pcm
32,ch,/ch/,ch.pcm
33,sh,/sh/,sh.pcm
34,th,/th/ (voiceless),th_voiceless.pcm
35,th,/th/ (voiced),th_voiced.pcm
36,ng,/ng/,ng.pcm
37,nk,/nk/,nk.pcm
38,ai,/ai/,ai.pcm
39,ee,/ee/,ee.pcm
40,igh,/igh/,igh.pcm
41,oa,/oa/,oa.pcm
42,oo,/oo/ (short),oo_short.pcm
43,ar,/ar/,ar.pcm
44,ur,/ur/,ur.pcm
45,oo,/oo/ (long),oo_long.pcm
46,or,/or/,or.pcm
47,ow,/ou/,ou.pcm
48,oi,/oi/,oi.pcm
49,ear,/ear/,ear.pcm
50,air,/air/,air.pcm
51,ure,/ure/,ure.pcm
52,er,/er/,er.pcm
53,ow,/oa/,oa.pcm
54,ay,/ai/,ai.pcm
55,ou,/ou/,ou.pcm
56,ie,/ie/,ie.pcm
57,ea,/ee/,ee.pcm
58,oy,/oi/,oi.pcm
59,ir,/ir/,ir.pcm
60,ue,/yoo/,yoo.pcm
61,aw,/aw/,aw.pcm
62,wh,/w/,w.pcm
63,ph,/f/,f.pcm
64,ew,/oo/,oo.pcm
65,oe,/oa/,oa.pcm
66,au,/or/,or.pcm
67,ey,/ee/,ee.pcm
68,a-e,/ai/,ai.pcm
69,e-e,/ee/,ee.pcm
70,i-e,/ie/,ie.pcm
71,o-e,/oa/,oa.pcm
72,u-e,/yoo/,yoo.pcm
73,c,/s/,s.pcm
74,y,/ee/,ee.pcm
75,al,/or/,or.pcm
76,a,/ai/,ai.pcm
77,ey,/ai/,ai.pcm
78,ea,/ai/,ai.pcm
79,eigh,/ai/,ai.pcm
80,a,/aː/,a_long.pcm
81,e,/ee/,ee.pcm
82,i,/ie/,ie.pcm
83,y,/ie/,ie.pcm
84,o,/oa/,oa.pcm
85,a,/o/,o.pcm
86,u,/oo/,oo.pcm
87,u,/yoo/,yoo.pcm
88,ch,/k/,k.pcm
89,ch,/sh/,sh.pcm
90,ea,/e/,e.pcm
91,ie,/e/,e.pcm
92,or,/er/,er.pcm
93,ear,/er/,er.pcm
94,ou,/yoo/,yoo.pcm
95,oul,/oal/,oal.pcm
96,ie,/ee/,ee.pcm
97,ve,/v/,v.pcm
98,y,/i/,i.pcm
99,are,/air/,air.pcm
100,ere,/air/,air.pcm
101,ear,/air/,air.pcm
102,tch,/ch/,ch.pcm
103,o,/u/,u.pcm
104,g,/j/,j.pcm
105,ge,/j/,j.pcm
106,dge,/j/,j.pcm
107,st,/s/,s.pcm
108,ce,/s/,s.pcm
109,se,/s/,s.pcm
110,gn,/n/,n.pcm
111,kn,/n/,n.pcm
112,wr,/r/,r.pcm
113,mb,/m/,m.pcm
114,se,/z/,z.pcm
115,ze,/z/,z.pcm
116,eer,/eer/,eer.pcm
117,ere,/eer/,eer.pcm
118,ti,/sh/,sh.pcm
119,al,/ar/,ar.pcm
120,augh,/or/,or.pcm
121,ss,/sh/,sh.pcm
122,si,/zh/,zh.pcm
123,ti,/sh/,sh.pcm
124,ci,/sh/,sh.pcm
